鄉鎮市區,交易標的,土地區段位置/建物區段門牌,土地移轉總面積(平方公尺),都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積(平方公尺),建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價(元),單價(元/平方公尺),車位類別,車位移轉總面積(平方公尺),車位總價(元),備註,編號,
The villages and towns urban district,transaction sign,land sector position/building sector house number plate,land shifting total area (square meter),the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year,month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price (Yuan),the unit price (a Yuan/square meter),the berth category,berth shifting total area (square meter),the berth total price (Yuan),the note,serial number
中區,房地(土地+建物),臺中市中區自由路二段1~30號,6.84,商,,,1070301,土地7建物1車位0,五層,十一層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,720427,31.48,1,0,1,有,有,760000,24142,,0,0,,RPWNMLMKMHNFFAB97CA,
南區,房地(土地+建物)+車位,臺中市南區復興路一段207巷1~30號,10.66,住,,,1070301,土地1建物1車位1,十層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,900921,109.44,2,2,1,有,有,5050000,46144,坡道平面,21.97,0,,RPOPMLMKMHNFFAB37CA,
南區,房地(土地+建物),臺中市南區復新街31~60號,5.68,住,,,1070301,土地1建物1車位0,七層,七層,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,840703,32.56,0,0,0,無,無,1100000,33784,,0,0,,RPQOMLNKMHNFFAB57CA,
南區,房地(土地+建物),臺中市南區南和路31~60號,37.01,住,,,1070301,土地1建物1車位0,六層,八層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,680522,74.63,3,2,1,有,無,2400000,32159,,0,0,,RPRNMLQKMHNFFAB87CA,
西區,土地,公館段151~180地號,28,其他,,,1070301,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,1342276,47938,,0,0,公共設施保留地之交易。,RPUNMLQKMHNFFAB18CA,
西區,土地,土庫段241~270地號,3.45,其他,,,1070301,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,159050,46101,,0,0,公共設施保留地之交易。,RPVNMLQKMHNFFAB28CA,
西區,房地(土地+建物),臺中市西區公益路331~360號,3.02,住,,,1070301,土地1建物1車位0,三層,十六層,套房(1房1廳1衛),住家用,鋼筋混凝土造,830825,38.6,1,1,1,有,有,1800000,46632,,0,0,二等親買賣,RPPOMLSKMHNFFAB97CA,
東區,土地,花園段六小段1~30地號,1.55,住,,,1070301,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,200000,129032,,0,0,,RPSPMLSKMHNFFAB38CA,
西區,房地(土地+建物)+車位,臺中市西區梅川東路二段31~60號,43.36,其他,,,1070301,土地1建物2車位1,一層，二層，騎樓,十二層,店面(店鋪),住商用,鋼筋混凝土造,860205,401.97,6,1,7,有,有,15000000,37316,坡道平面,0,1000000,,RPQQMLTKMHNFFAB38CA,
西區,房地(土地+建物)+車位,臺中市西區英才路511~540號,36.62,住,,,1070301,土地1建物1車位3,十四層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,901019,389.65,3,2,4,有,有,23800000,61080,坡道平面,74.19,0,,RPOPMLOLMHNFFAB67CA,
南區,房地(土地+建物)+車位,臺中市南區三民西路361~390號,11.83,住,,,1070101,土地2建物1車位1,五層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,941011,128.64,3,2,2,有,有,7950000,61800,坡道機械,11.96,0,,RPPPMLOLMHNFFAB77CA,
南區,房地(土地+建物)+車位,臺中市南區樹義五巷137弄61~90號,20.34,住,,,1070301,土地2建物2車位1,三層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,880608,120.29,3,2,2,有,有,6000000,49879,坡道機械,12.44,0,,RPTPMLOLMHNFFAB18CA,
東區,房地(土地+建物),臺中市東區大智路457巷1~30號,66,住,,,1061201,土地1建物1車位0,全,二層,透天厝,住家用,見其他登記事項,610810,81.6,4,1,3,有,無,6500000,79657,,0,0,親友、員工或其他特殊關係間之交易。,RPVPMLPLMHNFFAB48CA,
西區,車位,臺中市西區五權西六街121~150號,1.26,住,,,1070301,土地0建物0車位1,,,其他,,,,11.17,0,0,0,有,有,400000,,坡道機械,11.17,400000,,RPSPMLRLMHNFFAB38CA,
西區,房地(土地+建物)+車位,臺中市西區精誠五街31~60號,17.97,住,,,1070301,土地1建物1車位4,二層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,870731,213.71,4,2,2,有,有,9380000,43891,坡道機械,24.2,0,,RPQOMLMJNHNFFAB47CA,
東區,土地,東勢子段91~120地號,72.5,其他,,,1070301,土地5建物0車位0,,,其他,,,,0,0,0,0,有,無,3400000,46897,,0,0,,RPPOMLNJNHNFFAB47CA,
南區,房地(土地+建物)+車位,臺中市南區福田二街1~30號,21.44,住,,,1070201,土地2建物1車位1,三層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1051212,167.72,3,2,2,有,無,12630000,85089,坡道平面,33.4,1200000,,RPPNMLSJNHNFFAB87CA,
南區,房地(土地+建物)+車位,臺中市南區文心南路931~960號,20.55,住,,,1070201,土地2建物1車位1,三層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1051212,163.25,3,2,2,有,無,12380000,86099,坡道平面,33.4,1200000,,RPQNMLSJNHNFFAB97CA,
南區,房地(土地+建物)+車位,臺中市南區文心南路931~960號,21.89,住,,,1070301,土地2建物1車位1,七層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1051212,170.45,3,2,2,有,無,12250000,79898,坡道平面,33.4,1300000,,RPRNMLSJNHNFFAB08CA,
南區,房地(土地+建物)+車位,臺中市南區文心南路931~960號,25.46,住,,,1070301,土地2建物1車位1,十層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1051212,193.6,3,2,2,有,無,14950000,85206,坡道平面,33.4,1300000,,RPSNMLSJNHNFFAB18CA,
南區,房地(土地+建物)+車位,臺中市南區文心南路931~960號,21.89,住,,,1070301,土地2建物1車位2,十一層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1051212,203.85,3,2,2,有,無,14080000,83765,坡道平面,66.8,2600000,,RPTNMLSJNHNFFAB28CA,
西區,房地(土地+建物),臺中市西區五權西六街121~150號,12.8,住,,,1070301,土地1建物1車位0,三層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,880419,66.22,2,2,1,有,有,5100000,77016,,0,0,,RPOOMLLKNHNFFAB27CA,
北屯區,房地(土地+建物),臺中市北屯區仁友巷61~90號,158.78,住,,,1070301,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,660915,135.52,7,2,6,有,無,17000000,125443,,0,0,,RPSOMLMKMHNFFBB77CA,
北屯區,房地(土地+建物),臺中市北屯區遼寧路一段160巷1~30號,10.22,住,,,1070301,土地2建物1車位0,七層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,890218,82.25,2,2,1,有,有,4300000,52280,,0,0,,RPSRMLMKMHNFFBB08CA,
北屯區,房地(土地+建物),臺中市北屯區景賢南二路1~30號,14.36,商,,,1070301,土地1建物1車位0,七層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,961231,94.98,2,2,1,有,有,5580000,58749,,0,0,含增建或未登記建物。,RPURMLMKMHNFFBB28CA,
北屯區,房地(土地+建物),臺中市北屯區大連路三段121~150號,62,住,,,1070301,土地1建物1車位0,全,五層,透天厝,見其他登記事項,鋼筋混凝土造,860312,250.14,5,3,4,有,無,18360000,73399,,0,0,含增建或未登記建物。,RPTNMLNKMHNFFBB87CA,
